G661-01_1WT-ES_S1_R1_001.fastq.gz ,,GF,WT
G661-02_2WT-ES_S2_R1_001.fastq.gz,,GF,WT
G661-03_3WT-ES_S3_R1_001.fastq.gz ,,GF,WT
G661-04_4WT-ES_S4_R1_001.fastq.gz,,GF,WT
G661-05_5WT-ES_S5_R1_001.fastq.gz ,,GF,WT
G661-06_10WT-ES_S6_R1_001.fastq.gz  ,,GF,WT
G661-07_11WT-ES_S7_R1_001.fastq.gz   ,,SPF,WT
G661-08_12WT-ES_S8_R1_001.fastq.gz  ,,SPF,WT
G661-09_13WT-ES_S9_R1_001.fastq.gz ,,SPF,WT
G661-10_14WT-ES_S10_R1_001.fastq.gz  ,,SPF,WT
G661-11_15WT-ES_S11_R1_001.fastq.gz ,,SPF,WT
G661-12_17WT-ES_S12_R1_001.fastq.gz  ,,SPF,WT
 G661-13_1ASO-ES_S13_R1_001.fastq.gz,,GF,ASO
G661-14_2ASO-ES_S14_R1_001.fastq.gz,,GF,ASO
 G661-15_3ASO-ES_S15_R1_001.fastq.gz,,GF,ASO
G661-16_5ASO-ES_S16_R1_001.fastq.gz,,GF,ASO
G661-17_6ASO-ES_S17_R1_001.fastq.gz,,GF,ASO
 G661-18_7ASO-ES_S18_R1_001.fastq.gz,,GF,ASO
G661-19_8ASO-ES_S19_R1_001.fastq.gz,,SPF,ASO
G661-20_9ASO-ES_S20_R1_001.fastq.gz,,SPF,ASO
G661-21_10ASO-ES_S21_R1_001.fastq.gz,,SPF,ASO
G661-22_11ASO-ES_S22_R1_001.fastq.gz,,SPF,ASO
G661-23_14ASO-ES_S23_R1_001.fastq.gz,,SPF,ASO
G661-24_16ASO-ES_S24_R1_001.fastq.gz,,SPF,ASO
