"X","group","key","count"
164,"ASO_GF","Gene_164",0
165,"ASO_GF","Gene_165",0
166,"ASO_GF","Gene_166",0.341702
167,"ASO_GF","Gene_167",0
168,"ASO_GF","Gene_168",0
169,"ASO_GF","Gene_169",0.073645
170,"ASO_GF","Gene_170",0
171,"ASO_GF","Gene_171",0
172,"ASO_GF","Gene_172",5.641895
173,"ASO_GF","Gene_173",0
174,"ASO_GF","Gene_174",0
175,"ASO_GF","Gene_175",0
176,"ASO_GF","Gene_176",0.2906945
177,"ASO_GF","Gene_177",0
178,"ASO_GF","Gene_178",0
179,"ASO_GF","Gene_179",0
180,"ASO_GF","Gene_180",0
181,"ASO_GF","Gene_181",0
182,"ASO_GF","Gene_182",0
183,"ASO_GF","Gene_183",0
184,"ASO_GF","Gene_184",0
185,"ASO_GF","Gene_185",0
186,"ASO_GF","Gene_186",0
187,"ASO_GF","Gene_187",0
188,"ASO_GF","Gene_188",0.4620625
189,"ASO_GF","Gene_189",0
190,"ASO_GF","Gene_190",0
191,"ASO_GF","Gene_191",0
192,"ASO_GF","Gene_192",0
193,"ASO_GF","Gene_193",0.931678
194,"ASO_GF","Gene_194",0
195,"ASO_GF","Gene_195",0
196,"ASO_GF","Gene_196",1.244445
197,"ASO_GF","Gene_197",0.261544
198,"ASO_GF","Gene_198",0
199,"ASO_GF","Gene_199",0
200,"ASO_GF","Gene_200",0
201,"ASO_GF","Gene_201",0
202,"ASO_GF","Gene_202",0
203,"ASO_GF","Gene_203",0
204,"ASO_GF","Gene_204",0
205,"ASO_GF","Gene_205",17.0215
206,"ASO_GF","Gene_206",0.452549
207,"ASO_GF","Gene_207",0
208,"ASO_GF","Gene_208",0
209,"ASO_GF","Gene_209",0
210,"ASO_GF","Gene_210",0
211,"ASO_GF","Gene_211",21.74575
212,"ASO_GF","Gene_212",0.480449
213,"ASO_GF","Gene_213",2.31612
214,"ASO_GF","Gene_214",0
215,"ASO_GF","Gene_215",0
216,"ASO_GF","Gene_216",0
217,"ASO_GF","Gene_217",0
218,"ASO_GF","Gene_218",0
219,"ASO_GF","Gene_219",0
220,"ASO_GF","Gene_220",0
221,"ASO_GF","Gene_221",0
222,"ASO_GF","Gene_222",4.528365
223,"ASO_GF","Gene_223",1.402625
224,"ASO_GF","Gene_224",2.174375
225,"ASO_GF","Gene_225",0
226,"ASO_GF","Gene_226",0
227,"ASO_GF","Gene_227",0
228,"ASO_GF","Gene_228",0
229,"ASO_GF","Gene_229",0
230,"ASO_GF","Gene_230",0.16871005
231,"ASO_GF","Gene_231",0
232,"ASO_GF","Gene_232",0
233,"ASO_GF","Gene_233",0.7869885
234,"ASO_GF","Gene_234",0
235,"ASO_GF","Gene_235",2.66602
236,"ASO_GF","Gene_236",0
237,"ASO_GF","Gene_237",0
238,"ASO_GF","Gene_238",1.29149
239,"ASO_GF","Gene_239",0.111552
240,"ASO_GF","Gene_240",0.5330405
241,"ASO_GF","Gene_241",0
242,"ASO_GF","Gene_242",0
243,"ASO_GF","Gene_243",0
244,"ASO_GF","Gene_244",0.499017
245,"ASO_GF","Gene_245",0
246,"ASO_GF","Gene_246",0
247,"ASO_GF","Gene_247",0.3078545
248,"ASO_GF","Gene_248",0.2046235
249,"ASO_GF","Gene_249",0
250,"ASO_GF","Gene_250",0
251,"ASO_GF","Gene_251",0
252,"ASO_GF","Gene_252",0
253,"ASO_GF","Gene_253",0
254,"ASO_GF","Gene_254",0
255,"ASO_GF","Gene_255",0
256,"ASO_GF","Gene_256",0.04695705
257,"ASO_GF","Gene_257",0
258,"ASO_GF","Gene_258",0.4382
259,"ASO_GF","Gene_259",0
260,"ASO_GF","Gene_260",0
261,"ASO_GF","Gene_261",0
262,"ASO_GF","Gene_262",0
263,"ASO_GF","Gene_263",0
264,"ASO_GF","Gene_264",0
265,"ASO_GF","Gene_265",1.15721
266,"ASO_GF","Gene_266",0
267,"ASO_GF","Gene_267",0
268,"ASO_GF","Gene_268",0
269,"ASO_GF","Gene_269",0
270,"ASO_GF","Gene_270",1.0175
271,"ASO_GF","Gene_271",0
272,"ASO_GF","Gene_272",0
273,"ASO_GF","Gene_273",0.9404725
274,"ASO_GF","Gene_274",0.586466
275,"ASO_GF","Gene_275",0
276,"ASO_GF","Gene_276",0
277,"ASO_GF","Gene_277",0
278,"ASO_GF","Gene_278",0
279,"ASO_GF","Gene_279",1.611297
280,"ASO_GF","Gene_280",0
281,"ASO_GF","Gene_281",0
282,"ASO_GF","Gene_282",0
283,"ASO_GF","Gene_283",0
284,"ASO_GF","Gene_284",0.092089
285,"ASO_GF","Gene_285",0.256157
286,"ASO_GF","Gene_286",0.0634025
287,"ASO_GF","Gene_287",0
288,"ASO_GF","Gene_288",0
289,"ASO_GF","Gene_289",0
290,"ASO_GF","Gene_290",0.3450525
291,"ASO_GF","Gene_291",0
292,"ASO_GF","Gene_292",1.66821
293,"ASO_GF","Gene_293",43.0695
294,"ASO_GF","Gene_294",0
295,"ASO_GF","Gene_295",0
296,"ASO_GF","Gene_296",0.9358325
297,"ASO_GF","Gene_297",0
298,"ASO_GF","Gene_298",0
299,"ASO_GF","Gene_299",0
300,"ASO_GF","Gene_300",0
301,"ASO_GF","Gene_301",0.952885
302,"ASO_GF","Gene_302",0
303,"ASO_GF","Gene_303",0
304,"ASO_GF","Gene_304",0
305,"ASO_GF","Gene_305",0
306,"ASO_GF","Gene_306",0
307,"ASO_GF","Gene_307",0
308,"ASO_GF","Gene_308",7.293655
309,"ASO_GF","Gene_309",0
310,"ASO_GF","Gene_310",0
311,"ASO_GF","Gene_311",0
312,"ASO_GF","Gene_312",4.177545
313,"ASO_GF","Gene_313",0
314,"ASO_GF","Gene_314",3.19951
315,"ASO_GF","Gene_315",0
316,"ASO_GF","Gene_316",0
317,"ASO_GF","Gene_317",0.6291235
318,"ASO_GF","Gene_318",0
319,"ASO_GF","Gene_319",0
320,"ASO_GF","Gene_320",0
321,"ASO_GF","Gene_321",1.232625
322,"ASO_GF","Gene_322",0
323,"ASO_GF","Gene_323",0
324,"ASO_GF","Gene_324",0
325,"ASO_GF","Gene_325",0
326,"ASO_GF","Gene_326",0
327,"ASO_GF","Gene_327",0
328,"ASO_GF","Gene_328",0
329,"ASO_GF","Gene_329",0
330,"ASO_GF","Gene_330",0
331,"ASO_GF","Gene_331",0
332,"ASO_GF","Gene_332",0
333,"ASO_GF","Gene_333",0
334,"ASO_GF","Gene_334",0
335,"ASO_GF","Gene_335",0
